(Thousands of Dollars),United States**,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi*,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Insurance benefits and repayments,"293,782,934","3,481,902","1,367,744","4,314,875","1,979,698","50,990,054","5,602,527","4,753,225","725,011","9,314,690","6,543,985","1,488,946","1,146,546","15,292,921","2,880,788","2,629,519","1,912,827","4,550,003","4,662,324","1,028,113","4,367,219","6,784,356","8,057,620","5,534,021","1,880,311","4,739,931","1,068,360","761,279","2,605,908","791,338","13,517,466","2,398,282","22,531,599","6,164,825","660,183","17,323,549","2,852,310","5,580,577","12,734,112","1,288,574","3,683,587","572,221","2,654,456","18,228,620","1,871,857","396,364","5,008,883","7,190,780","1,571,731","5,459,008","837,909"
Assistance and subsidies,"47,977,829","2,024,435","158,721","875,318","484,283","5,316,416","506,663","498,407","335,566","1,902,844","1,256,042","118,899","159,842","1,529,313","1,382,810","620,231","208,775","1,104,855","636,171","167,960","1,761,798","1,022,829","1,386,823","1,194,529","396,601","639,495","76,301","209,343","494,244","193,058","1,656,438","198,854","1,976,503","1,268,690","183,493","1,803,259","597,283","661,015","2,929,398","169,679","1,198,414","134,712","1,327,944","2,826,829","828,978","245,190","1,218,223","1,056,420","318,476","665,198","50,261"
Interest on debt,"46,433,095","389,784","200,904","635,401","152,101","7,069,122","724,802","1,539,729","185,956","916,442","592,853","113,918","141,616","3,493,429","890,680","206,574","180,129","645,169","814,670","168,027","1,196,674","3,277,762","1,548,062","570,413","250,091","772,652","108,825","58,245","138,456","318,874","2,204,449","390,966","5,730,855","582,733","80,220","1,316,926","412,789","353,289","1,501,902","449,333","599,011","108,560","255,740","1,304,988","236,315","101,073","1,114,484","1,490,072","206,560","653,454","38,016"
Exhibit: Salaries and wages,"275,138,868","4,922,514","1,705,821","4,090,546","3,021,356","35,729,577","5,509,418","4,535,378","1,424,947","9,319,466","6,680,415","3,353,048","1,470,850","8,199,405","4,578,985","3,573,499","2,951,778","4,373,700","4,049,934","1,069,165","5,495,407","7,084,206","9,900,659","5,679,113","2,697,441","4,027,051","1,149,813","1,579,254","1,737,065","1,156,326","10,181,242","2,528,205","18,431,443","8,181,078","1,097,761","8,301,530","3,300,913","4,882,807","10,490,084","1,325,482","4,031,756","788,555","4,100,046","18,986,791","3,560,494","959,299","7,751,506","8,302,069","1,816,508","4,351,591","703,571"
Total expenditure,"2,316,081,406","33,881,477","11,290,460","39,078,156","23,058,497","350,012,165","34,949,835","27,865,949","10,011,635","92,696,645","49,601,648","12,680,681","9,571,879","85,515,251","42,083,220","23,251,836","19,597,970","36,311,322","33,813,850","9,062,175","45,313,681","66,483,110","72,159,761","47,309,258","22,751,540","33,635,650","7,745,680","10,618,168","16,221,269","7,882,386","72,339,494","20,407,058","201,170,168","55,570,958","7,532,032","88,232,183","25,252,040","39,668,240","104,023,221","8,780,280","33,880,302","5,265,167","33,218,749","146,437,845","20,595,842","8,665,775","53,436,948","54,878,871","14,686,179","39,873,101","7,711,799"
General expenditure,"1,982,933,905","30,078,232","9,778,966","34,735,978","21,078,799","296,779,736","29,332,236","22,597,940","9,140,637","83,041,726","42,923,862","11,191,735","8,298,096","70,222,330","39,158,148","20,409,385","17,685,143","31,724,376","29,143,517","7,991,317","39,692,648","55,728,805","63,229,370","41,303,514","17,423,996","28,895,719","6,578,680","9,849,096","13,571,159","6,530,108","55,739,193","18,007,605","165,431,107","49,253,887","6,791,284","70,094,702","21,342,494","33,664,141","89,366,614","7,319,018","28,580,071","4,692,946","30,562,884","128,205,570","18,449,015","8,155,785","47,653,847","47,443,213","13,028,758","34,332,896","6,703,621"
Intergovernmental expenditure,"546,688,764","6,931,626","1,829,640","9,560,596","5,373,102","107,877,299","7,604,250","5,651,917","1,583,343","21,484,868","12,325,150","328,020","2,408,604","19,192,558","11,213,561","5,505,683","4,860,179","5,713,675","6,415,070","1,300,980","9,631,764","8,955,488","21,383,356","13,546,867","5,225,210","6,298,000","1,128,565","2,457,060","4,772,756","831,584","11,662,914","4,735,545","62,034,994","13,438,382","1,978,548","18,796,046","4,446,655","5,764,089","22,256,314","1,277,277","6,735,297","863,182","7,882,887","29,581,049","3,784,508","1,775,714","11,927,574","12,657,621","2,457,100","8,826,031","2,416,266"
Direct expenditure,"1,438,236,123","23,146,606","7,949,326","25,175,382","15,705,697","188,902,437","21,727,986","16,946,023","7,557,294","61,556,858","30,598,712","10,863,715","5,889,492","51,029,772","27,944,587","14,903,702","12,824,964","26,010,701","22,728,447","6,690,337","30,060,884","46,773,317","41,846,014","27,756,647","14,189,768","22,597,719","5,450,115","7,392,036","8,798,403","5,698,524","44,076,279","13,272,060","103,396,113","35,815,505","4,812,736","51,298,656","16,895,839","27,900,052","67,110,300","6,041,741","21,844,774","3,829,764","22,679,997","98,624,521","14,664,507","6,380,071","35,726,273","34,785,592","10,571,658","25,506,865","4,287,355"
Education,"686,654,886","12,847,883","2,524,056","11,655,555","7,843,665","97,240,115","12,011,319","7,760,134","3,297,131","27,071,608","18,962,101","3,409,731","3,115,269","18,520,513","15,742,709","7,282,938","7,402,958","11,263,480","9,299,171","2,145,990","12,663,513","13,179,312","25,890,299","16,094,986","6,431,695","9,976,109","1,917,463","3,825,588","5,150,123","1,441,350","18,497,910","5,527,172","45,766,742","21,223,986","2,356,128","23,187,805","8,323,116","12,291,011","28,410,894","2,168,254","10,274,900","1,519,557","10,574,305","54,200,415","8,444,264","2,906,638","16,598,849","19,629,589","4,285,354","12,363,945","2,137,288"
Public welfare,"676,247,828","8,547,055","2,724,651","14,685,574","7,482,277","124,082,248","8,465,159","4,261,286","2,551,364","27,111,988","12,475,749","2,984,204","2,495,878","23,289,719","13,967,124","6,010,233","4,101,965","11,508,013","11,226,836","3,257,172","12,929,570","22,403,061","18,833,917","14,507,128","6,440,718","8,995,674","2,169,871","2,771,780","3,892,730","2,584,284","18,558,280","5,900,385","67,311,394","13,031,451","1,287,765","25,824,087","6,747,383","10,481,906","31,373,090","2,770,134","7,811,767","1,154,441","12,447,574","37,986,943","3,769,434","3,400,225","11,169,667","12,195,196","4,732,909","10,691,615","844,954"
